                                    Metric  Value
                                 Precision   0.51
                                    Recall   0.47
                                  Accuracy   0.47
                                  F1 Score   0.42
               correct_positive_percentage  93.28
               correct_negative_percentage  31.13
positive_classified_as_negative_percentage   1.83
negative_classified_as_positive_percentage  46.41
