                                    Metric  Value
                                 Precision   0.51
                                    Recall   0.50
                                  Accuracy   0.50
                                  F1 Score   0.46
               correct_positive_percentage  91.99
               correct_negative_percentage  42.11
positive_classified_as_negative_percentage   2.66
negative_classified_as_positive_percentage  34.89
